R	3.5066	1.5914	0.8295	1477010443600000	-0.0517	3.2969	-0.1719	0.9851
R	4.6876	1.7248	0.9276	1477010444400000	-0.2923	4.0577	-0.4115	0.9114
R	4.7941	1.7291	0.5918	1477010445200000	-0.7145	4.7347	-0.6252	0.7804
R	5.0049	1.8327	1.0766	1477010446000000	-1.2919	5.2854	-0.7997	0.6004
R	5.7150	1.9294	0.5659	1477010446800000	-1.9880	5.6753	-0.9239	0.3827
R	6.0949	1.9828	0.8417	1477010447600000	-2.7593	5.8798	-0.9900	0.1409
R	6.5848	2.1211	0.4986	1477010448400000	-3.5572	5.8861	-0.9940	-0.1097
R	6.7977	2.2296	0.5828	1477010449200000	-4.3315	5.6937	-0.9354	-0.3535
R	7.5037	2.2947	0.1959	1477010450000000	-5.0337	5.3148	-0.8182	-0.5750
R	7.6723	2.3964	0.2672	1477010450800000	-5.6197	4.7732	-0.6495	-0.7604
R	7.7955	2.5563	-0.1517	1477010451600000	-6.0525	4.1029	-0.4400	-0.8980
R	7.3485	2.6911	-0.1774	1477010452400000	-6.3050	3.3460	-0.2028	-0.9792
R	7.1269	2.7455	-0.6260	1477010453200000	-6.3614	2.5501	0.0471	-0.9989
R	7.1220	2.8457	-0.6647	1477010454000000	-6.2180	1.7652	0.2940	-0.9558
R	5.6550	2.9774	-0.9050	1477010454800000	-5.8840	1.0406	0.5225	-0.8527
R	5.6164	3.0747	-0.3220	1477010455600000	-5.3802	0.4218	0.7181	-0.6959
R	4.2583	-3.1392	-1.5738	1477010456400000	-4.7384	-0.0523	0.8686	-0.4955
R	3.6993	-3.0656	-0.7354	1477010457200000	-3.9988	-0.3518	0.9646	-0.2639
R	3.1734	-3.0591	-1.6095	1477010458000000	-3.2080	-0.4580	0.9999	-0.0157
R	2.2618	-2.9464	-0.3618	1477010458800000	-2.4157	-0.3642	0.9724	0.2334
R	1.6771	-3.1037	-0.5034	1477010459600000	-1.6715	-0.0764	0.8838	0.4679
R	0.9452	2.7682	-0.0608	1477010460400000	-1.0223	0.3876	0.7397	0.6730
R	0.9246	2.0520	0.6245	1477010461200000	-0.5089	0.9983	0.5491	0.8358
R	1.7997	1.6549	1.3158	1477010462000000	-0.1635	1.7176	0.3240	0.9461
R	2.5750	1.5624	1.2371	1477010462800000	-0.0079	2.5002	0.0785	0.9969
R	3.1121	1.5931	0.9745	1477010463600000	0.0345	3.2982	0.1409	0.9900
R	4.2679	1.4339	1.1306	1477010464400000	0.2511	4.0662	0.3827	0.9239
R	4.8999	1.4207	0.7776	1477010465200000	0.6518	4.7561	0.6004	0.7997
R	5.5583	1.3523	0.7805	1477010466000000	1.2116	5.3248	0.7804	0.6252
R	6.5673	1.1955	0.8786	1477010466800000	1.8952	5.7363	0.9114	0.4115
R	6.7209	1.1405	0.7606	1477010467600000	2.6596	5.9649	0.9851	0.1719
R	6.5140	1.0102	-0.0904	1477010468400000	3.4569	5.9962	0.9969	-0.0785
R	7.1488	0.9696	0.2480	1477010469200000	4.2369	5.8283	0.9461	-0.3239
R	7.1835	0.8405	-0.0008	1477010470000000	4.9507	5.4717	0.8358	-0.5490
R	7.6455	0.7480	0.5154	1477010470800000	5.5533	4.9487	0.6730	-0.7396
R	7.5362	0.6010	-0.2984	1477010471600000	6.0070	4.2923	0.4679	-0.8838
R	7.2187	0.5513	-0.7131	1477010472400000	6.2832	3.5437	0.2334	-0.9724
R	6.8231	0.4092	-0.2666	1477010473200000	6.3645	2.7500	-0.0157	-0.9999
R	6.1116	0.2795	-0.8766	1477010474000000	6.2459	1.9610	-0.2639	-0.9646
R	5.8451	0.1824	-0.9224	1477010474800000	5.9347	1.2262	-0.4955	-0.8686
R	6.2753	0.1281	-0.3451	1477010475600000	5.4507	0.5919	-0.6959	-0.7181
R	4.6101	0.0342	-0.5792	1477010476400000	4.8241	0.0979	-0.8526	-0.5225
R	3.7764	-0.0350	-0.9333	1477010477200000	4.0943	-0.2247	-0.9558	-0.2940
R	3.1778	-0.1926	-1.0280	1477010478000000	3.3072	-0.3557	-0.9989	-0.0471
R	2.6548	-0.1046	-1.2439	1477010478800000	2.5123	-0.2868	-0.9792	0.2028
R	1.5386	-0.0149	-0.8748	1477010479600000	1.7594	-0.0225	-0.8980	0.4399
R	1.0981	0.4062	-0.2337	1477010480400000	1.0960	0.4208	-0.7604	0.6494
R	1.4643	1.1290	0.0409	1477010481200000	0.5637	1.0152	-0.5750	0.8181
R	2.0345	1.5241	1.1072	1477010482000000	0.1959	1.7233	-0.3535	0.9354
R	2.7910	1.5175	0.7705	1477010482800000	0.0157	2.5006	-0.1097	0.9940
